DATE,SEDOL,WEIGHTS,FOUR_WEEKLY_RETURN
01/03/2007,2000019,0,-0.01801568
01/03/2007,2002305,0.005035216,0.05153537
01/03/2007,2002479,0,-0.06118959
01/03/2007,2005973,0,0.06597257
01/03/2007,2007849,0,-0.05654907
01/03/2007,2008154,0,0.01448536
01/03/2007,2011602,0,0.04256856
01/03/2007,2017213,0,0.02380335
01/03/2007,2018175,0,0.05575895
01/03/2007,2019479,0,0.01129651
01/03/2007,2019952,0.010985555,0.03144252
01/03/2007,2020459,0,0.05349207
01/03/2007,2021690,0,0.0015322
01/03/2007,2023607,0,-0.01412505
01/03/2007,2023737,0,0.06044865
01/03/2007,2023748,0,-0.05188859
01/03/2007,2024020,0,0.03133392
01/03/2007,2026082,0,0.03347564
01/03/2007,2026242,0,0.01950991
01/03/2007,2026361,0.010836575,0.05714285
01/03/2007,2027104,0,0.05999994
01/03/2007,2027342,0,0.03411221
01/03/2007,2028572,0,0.00823176
01/03/2007,2029809,0,0.01104975
01/03/2007,2032067,0,0.00674439
01/03/2007,2032380,0.00158787,-0.13456035
01/03/2007,2033004,0.017966925,0.0333823
01/03/2007,2034494,0,0.0993464
01/03/2007,2034524,0,-0.0242207
01/03/2007,2038430,0,0.00414073
01/03/2007,2039831,0,-0.01198089
01/03/2007,2041364,0,-0.10384959
01/03/2007,2043694,0.01194809,0.03647959
01/03/2007,2043962,0,-0.07189071
01/03/2007,2044545,0.015175948,0.05048013
01/03/2007,2046251,0,-0.08234769
01/03/2007,2046552,0,0.03891707
01/03/2007,2047317,0,-0.07952917
01/03/2007,2048804,0,0.04292369
01/03/2007,2050832,0,-0.00282902
01/03/2007,2057059,0,-0.00896156
01/03/2007,2065159,0,-0.01337874
01/03/2007,2065308,0,0.01608527
01/03/2007,2065955,0,0.04612815
01/03/2007,2066408,0.001656458,0.02270019
01/03/2007,2066721,0,0.04121471
01/03/2007,2068921,0,0.04195142
01/03/2007,2069065,0,-0.16858572
01/03/2007,2073022,0.015359613,0.03035963
01/03/2007,2073408,0,0.02242744
01/03/2007,2077905,0,0.00497031
01/03/2007,2081779,0,-0.00453025
01/03/2007,2084637,0,0.10069227
01/03/2007,2085102,0,0.05023408
01/03/2007,2085878,0,-0.01694483
01/03/2007,2086138,0.001418819,0.0748564
01/03/2007,2087807,0,-0.01429564
01/03/2007,2090173,0,0.01525807
01/03/2007,2090571,0,0.09180141
01/03/2007,2094670,0,-0.0845437
01/03/2007,2098597,0,0.08845413
01/03/2007,2098876,0.005593794,-0.03429037
01/03/2007,2100920,0,-0.00115645
01/03/2007,2101503,0,-0.05265003
01/03/2007,2101967,0.016529241,0.04649139
01/03/2007,2105505,0.012732944,-0.01747364
01/03/2007,2108601,0,-0.00424349
01/03/2007,2109002,0,0.06705105
01/03/2007,2110703,0,0.02704859
01/03/2007,2113434,0,0.07296956
01/03/2007,2126335,0,0.07326889
01/03/2007,2138158,0,0.03669393
01/03/2007,2142784,0.017638528,-0.04361457
01/03/2007,2142922,0,-0.04635501
01/03/2007,2146838,0.015409558,-0.01587313
01/03/2007,2149309,0,0.00853086
01/03/2007,2154927,0,-0.0116123
01/03/2007,2160753,0,-0.0366056
01/03/2007,2162845,0,0.02631569
01/03/2007,2170473,0,0.00852275
01/03/2007,2175672,0,-0.02107185
01/03/2007,2180201,0,-0.00049025
01/03/2007,2182348,0,0.01652741
01/03/2007,2182553,0,-0.07482755
01/03/2007,2182779,0,-0.18187159
01/03/2007,2183244,0,-0.01968151
01/03/2007,2183330,0,0.06353652
01/03/2007,2185046,0,0.03185463
01/03/2007,2190385,0,0.05216265
01/03/2007,2192295,0,0.03303409
01/03/2007,2195722,0.010349942,0.04362226
01/03/2007,2196479,0,0.05123997
01/03/2007,2196888,0.015621816,0.04305089
01/03/2007,2197137,0,-0.04330331
01/03/2007,2198163,0,0.03896582
01/03/2007,2199326,0,-0.23406822
01/03/2007,2202536,0,0.00925922
01/03/2007,2204026,0,0.00501883
01/03/2007,2206657,0,0.04316091
01/03/2007,2209106,0.017648209,0.00489593
01/03/2007,2210614,0,0.04849601
01/03/2007,2212870,0,0.0308727
01/03/2007,2214832,0,0.08651161
01/03/2007,2215460,0,0.04813659
01/03/2007,2216850,0,0.0035255
01/03/2007,2218447,0,0.04722607
01/03/2007,2219224,0,0.04022276
01/03/2007,2220884,0,-0.003546
01/03/2007,2224701,0,-0.10323501
01/03/2007,2229676,0,0.05354011
01/03/2007,2232696,0.000278669,0.01075494
01/03/2007,2232793,0,0.10228229
01/03/2007,2235822,0,0.00401986
01/03/2007,2236911,0.009235476,-0.11300546
01/03/2007,2240202,0,-0.00606924
01/03/2007,2246288,0,0.04620552
01/03/2007,2249629,0.015567187,0.00707483
01/03/2007,2250687,0,-0.02068442
01/03/2007,2250870,0.016327037,-0.00720316
01/03/2007,2252058,0.011313451,0.01471853
01/03/2007,2256511,0,0.0084033
01/03/2007,2257019,0,-0.03307629
01/03/2007,2259101,0,-0.00226837
01/03/2007,2259468,0,-0.02312851
01/03/2007,2261203,0,-0.0059272
01/03/2007,2261526,0,-0.06527323
01/03/2007,2262314,0,0.0843631
01/03/2007,2269768,0,-0.03585434
01/03/2007,2270726,0,0.04291332
01/03/2007,2272205,0,0.06532991
01/03/2007,2278407,0,-0.00691909
01/03/2007,2279002,0,0.03098202
01/03/2007,2279303,0,-0.01385528
